Size,Random_InsertionSort,Sorted_InsertionSort,InverselySorted_InsertionSort,Random_BubbleSort,Sorted_BubbleSort,InverselySorted_BubbleSort,Random_SelectionSort,Sorted_SelectionSort,InverselySorted_SelectionSort,Random_HeapSort,Sorted_HeapSort,InverselySorted_HeapSort
1,0,0,0,0,0,0,0,0,0,3,3,3
2,1,1,1,1,1,1,1,1,1,12,12,12
3,2,2,2,2,2,2,3,3,3,18,18,18
4,3,3,3,3,3,3,6,6,6,33,33,33
5,4,4,4,4,4,4,10,10,10,39,39,39
6,5,5,5,5,5,5,15,15,15,54,54,54
7,6,6,6,6,6,6,21,21,21,60,60,60
8,7,7,7,7,7,7,28,28,28,81,81,81
9,8,8,8,8,8,8,36,36,36,93,93,93
10,9,9,9,9,9,9,45,45,45,108,108,108
11,10,10,10,10,10,10,55,55,55,120,120,120
12,11,11,11,11,11,11,66,66,66,141,141,141
13,12,12,12,12,12,12,78,78,78,153,153,153
14,13,13,13,13,13,13,91,91,91,168,168,168
15,14,14,14,14,14,14,105,105,105,180,180,180
16,15,15,15,15,15,15,120,120,120,201,201,201
17,16,16,16,16,16,16,136,136,136,219,219,219
18,17,17,17,17,17,17,153,153,153,240,240,240
19,18,18,18,18,18,18,171,171,171,252,252,252
20,19,19,19,19,19,19,190,190,190,273,273,273
21,20,20,20,20,20,20,210,210,210,285,285,285
22,21,21,21,21,21,21,231,231,231,312,312,312
23,22,22,22,22,22,22,253,253,253,324,324,324
24,23,23,23,23,23,23,276,276,276,345,345,345
25,24,24,24,24,24,24,300,300,300,363,363,363
26,25,25,25,25,25,25,325,325,325,384,384,384
27,26,26,26,26,26,26,351,351,351,396,396,396
28,27,27,27,27,27,27,378,378,378,417,417,417
29,28,28,28,28,28,28,406,406,406,429,429,429
30,29,29,29,29,29,29,435,435,435,456,456,456
